"","Department"
"696","Deptt: of Geology"
"697","Anti Harassment Cell"
"698","Anti Harassment Cell"
"699","AC-I Section"
"700","Academic-I Section"
"701","Academic-I Section"
"702","AC-I"
"703","AC-I"
"704","Academic Section I"
"705","Sindh Development Studies Centre"
"706","Sindh Development Studies centre"
"707","Sindh Development Studies Centre"
"708","Sindh Development Studies Centre"
"709","Sindh Development Studies"
"710","S.D.S.C"
"711","Z.A. Bhutto Hostel"
"712","Women Behbood office"
"713","Waiting for posting at Admn: Branch"
"714","Waiting for posting at Admn. Branch"
"715","Waiting for Posting"
"716","Waiting for posting"
"717","Waiting for posting"
"718","Visiting Foreign Faculty Hostel"
"719","Visiting foreign Faculty"
"720","Hostel For Visiting Foreign Faculty"
"721","Vice-Chancellor’s Secretrait"
"722","Vice-Chancellor’s Secretariat"
"723","Vice-Chancellor’s Secretariat"
"724","Vice-Chancellor’s Secretariat"
"725","Vice-Chancellor’s Secretariat"
"726","Vice-Chancellor’s Secretariat"
"727","Vice Chancellor’s Secretariat"
"728","Vice Chancellor’s Secretariat"
"729","Vice-Chancellor’s Residence"
"730","Vice-Chancellor’s Residence"
"731","Vice-Chancellor’s House."
"732","Vice-Chancellor’s House"
"733","Vice-Chancellor’s House"
"734","Vice-Chancellor’s House"
"735","Vice-Chancellor’s House"
"736","Vice Chancellor's House"
"737","Vice Chancellor’s House"
"738","Vice Chancellor’s House"
"739","Vice Chancellor’s House"
"740","Vice Chancellor House"
"741","Vice-Chancellor’s Bungalow"
"742","Vice Chancellor’s Bungalow"
"743","Vice Secreterated"
"744","Vice Chancellor Office"
"745","Vice Chacellor Residence"
"746","VC Secretariat"
"747","VC Secretariat"
"748","VC Secretariat"
"749","VC Secretariat"
"750","VC Secretariat"
"751","VC Secretariat"
"752","V.C. Office"
"753","V.C. Office"
"754","V.C. Office"
"755","V.C. Office"
"756","V.C Office"
"757","V.C House"
"758","V.C House"
"759","V. C.  House"
"760","University of Sindh"
"761","University of Sindh"
"762","University of Sindh"
"763","Office of the Registrar, University of Sindh"
"764","Mini Hospital University of Sindh Jamshoro"
"765","Under Supension (at Admn. Off.)"
"766","Transport Section"
"767","Transport Section"
"768","Transport Section"
"769","Transport Section"
"770","Transport Section"
"771","Transport Section"
"772","Transport Section"
"773","Transport Section"
"774","Transport Section"
"775","Transport Section"
"776","Transport Section"
"777","Transport Section"
"778","Transport Section"
"779","Transport Section"
"780","Transport Section"
"781","Transport Section"
"782","Transport Section"
"783","Transport Section"
"784","Transport Section"
"785","Transport Section"
"786","Transport Section"
"787","Transport Section"
"788","Transport Section"
"789","Transport Section"
"790","Transport Section"
"791","Transport Section"
"792","Transport Section"
"793","Transport Section"
